"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"1","1",717228.913384781,9676882.72681051,2617.3,6.65778,722215.6747604,9677158.85042257,2538.1,6.89056,6.11272986451565,0.23278,3,1685429606,"614820f9e6",1
"2","10",717055.526529417,9677056.46738645,2614.1,6.38667,722280.717709513,9677153.85729271,2539,7.08667,8.79959710259246,0.7,4,1685516712,"614820f9e6",2
"3","100",717068.260983316,9677057.88303594,2625,7.11778,722226.10648155,9677178.28654198,2548,8.22306,9.07249688399812,1.10528,4,1686730403,"614820f9e6",3
"4","101",722213.082329383,9677164.27446482,2539.9,9.99667,722213.02576635,9677220.03943456,2537.5,10.01806,0.0854143493770173,0.0213900000000002,4,1686736865,"614820f9e6",4
"5","102",722286.364195174,9677221.2694618,2535.3,12.5925,722228.783395017,9677207.87853142,2536.2,12.78722,0.473297002170995,0.19472,4,1686746834,"614820f9e6",5
"6","103",722246.842143636,9677182.80643037,2538.1,13.01389,722195.376342009,9677175.10056347,2537.5,13.04861,0.198770678577021,0.0347200000000001,4,1686747775,"614820f9e6",6
"7","104",722204.987457303,9677189.56111082,2537.8,14.05889,716998.553945081,9677078.25450948,2617.4,14.93361,6.76392018108671,0.87472,4,1686754561,"614820f9e6",7
"8","105",716988.890757835,9677046.10952129,2617.3,23.80833,716998.724120405,9677067.39353443,2617.3,23.81083,0.0433713771182739,0.00249999999999773,4,1686786519,"614820f9e6",8
"9","106",717186.69741443,9676885.77530396,2614.2,6.64083,722216.680168497,9677230.26350395,2538.5,6.89417,7.56336717588832,0.25334,5,1686812019,"614820f9e6",9
"10","107",722256.423203729,9677224.14300633,2535.7,10.35861,722204.6305372,9677232.75131349,2537.2,10.46389,0.362356194678711,0.105279999999999,5,1686824870,"614820f9e6",10
"11","108",722246.411148631,9677240.61818902,2535.7,11.89306,722399.227838527,9677281.44573867,2531.6,12.30917,0.567536111786577,0.41611,5,1686831513,"614820f9e6",11
"12","109",722352.276584201,9677248.68079714,2535.4,13.11083,722195.088212716,9677181.91407758,2537.5,13.15083,0.209157603274221,0.0399999999999991,5,1686834543,"614820f9e6",12
"13","11",722333.325101781,9677146.92861039,2539.9,9.34611,722280.53339147,9677262.84358319,2535.3,9.56278,0.84650314401302,0.216670000000001,4,1685525626,"614820f9e6",13
"14","110",722175.4233324,9677154.19931852,2544.8,13.99944,722334.385786416,9677286.91411355,2533.2,14.165,0.290760242074034,0.165559999999999,5,1686838194,"614820f9e6",14
"15","111",722044.016797451,9677265.80759247,2536.9,14.45528,717004.3363163,9677065.53681014,2617.3,15.035,6.31100926737053,0.57972,5,1686841326,"614820f9e6",15
"16","112",717676.650183166,9676725.50647379,2607.2,17.58083,718951.04877017,9676537.64893963,2617.5,17.63722,1.86567565011336,0.0563900000000004,5,1686850694,"614820f9e6",16
"17","113",716987.935081901,9677078.48308227,2617.5,10.01333,717002.625394434,9677059.9988436,2617.3,10.03917,0.0894586903993351,0.0258400000000005,1,1687082541,"614820f9e6",17
"18","114",717848.69950124,9676582.39107557,2603.9,10.94667,730896.634826964,9679576.9377981,2688,11.49528,18.7472760037632,0.54861,1,1687087783,"614820f9e6",18
