"accuracy","activity_type","device_model","event","battery_level","is_moving","speed","heading","recorded_at","latitude","longitude","company_token"
24,"still","ReactNative-SM-A505G-9","motionchange",0.21,FALSE,-1,-1,2019-09-16 19:01:08,-2.9184429,-79.0008332,"andresm"
17,"still","ReactNative-SM-A505G-9",NA,0.19,FALSE,-1,-1,2019-09-16 19:16:48,-2.9195343,-79.00157,"andresm"
17,"still","ReactNative-SM-A505G-9","providerchange",0.19,FALSE,-1,-1,2019-09-16 19:16:48,-2.9195343,-79.00157,"andresm"
28,"still","ReactNative-SM-A505G-9","motionchange",0.15,TRUE,-1,-1,2019-09-16 20:13:16,-2.9182372,-79.00013,"andresm"
34,"still","ReactNative-SM-A505G-9",NA,0.15,TRUE,-1,-1,2019-09-16 20:13:21,-2.9183345,-79.0000426,"andresm"
34,"still","ReactNative-SM-A505G-9",NA,0.15,TRUE,-1,-1,2019-09-16 20:13:21,-2.9183345,-79.0000426,"andresm"
3,"still","ReactNative-SM-A505G-9",NA,0.15,FALSE,0,0,2019-09-16 20:15:45,-2.9183813,-79.0001306,"andresm"
27,"still","ReactNative-SM-A505G-9","motionchange",0.14,TRUE,-1,-1,2019-09-16 20:21:41,-2.9192391,-79.0016307,"andresm"
35,"still","ReactNative-SM-A505G-9",NA,0.14,TRUE,-1,-1,2019-09-16 20:21:47,-2.9194053,-79.0015796,"andresm"
35,"still","ReactNative-SM-A505G-9",NA,0.14,TRUE,-1,-1,2019-09-16 20:21:47,-2.9194053,-79.0015796,"andresm"
3,"still","ReactNative-SM-A505G-9","motionchange",0.13,FALSE,0.08,22,2019-09-16 20:27:15,-2.9190881,-79.0017922,"andresm"
7,"walking","ReactNative-SM-A505G-9","motionchange",0.12,TRUE,0.95,278,2019-09-16 20:29:50,-2.9192013,-79.0018491,"andresm"
7,"walking","ReactNative-SM-A505G-9",NA,0.12,TRUE,0.95,278,2019-09-16 20:29:50,-2.9192013,-79.0018491,"andresm"
7,"walking","ReactNative-SM-A505G-9",NA,0.12,TRUE,0.95,278,2019-09-16 20:29:50,-2.9192013,-79.0018491,"andresm"
7,"still","ReactNative-SM-A505G-9","providerchange",0.11,TRUE,0.95,278,2019-09-16 20:29:50,-2.9192013,-79.0018491,"andresm"
22,"still","ReactNative-SM-A505G-9",NA,0.07,TRUE,-1,-1,2019-09-16 22:13:15,-2.9138149,-79.0238695,"andresm"
