"accuracy","activity_type","device_model","event","battery_level","is_moving","speed","heading","recorded_at","latitude","longitude","company_token"
65,"still","ReactNative-iPhone-7-12-4-1","motionchange",0.34,FALSE,-1,-1,2019-09-16 08:00:03,-2.75535377115432,-78.848402965281,"fsacoto"
65,"still","ReactNative-iPhone-7-12-4-1","motionchange",0.33,TRUE,-1,-1,2019-09-16 08:05:11,-2.75028133495649,-78.8489856552583,"fsacoto"
65,"still","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,-1,-1,2019-09-16 08:05:11,-2.75026169466228,-78.849017845806,"fsacoto"
5,"on_bicycle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,12.73,2.46,2019-09-16 08:05:43,-2.74800163228321,-78.849483551531,"fsacoto"
5,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,6.04,357.54,2019-09-16 08:09:43,-2.73981967941182,-78.8456230983872,"fsacoto"
10,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,165.59,2019-09-16 08:12:12,-2.74054957554,-78.8475340046723,"fsacoto"
10,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,165.59,2019-09-16 08:12:15,-2.74054957554,-78.8475340046723,"fsacoto"
10,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,250.66,2019-09-16 08:12:38,-2.74055175483482,-78.8475249522169,"fsacoto"
5,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,59.77,2019-09-16 08:12:54,-2.74054400157439,-78.8475008961548,"fsacoto"
5,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,59.77,2019-09-16 08:12:56,-2.74054400157439,-78.8475008961548,"fsacoto"
30,"in_vehicle","ReactNative-iPhone-7-12-4-1",NA,0.33,TRUE,0,52.38,2019-09-16 08:13:09,-2.7405546046819,-78.8474827912439,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.32,TRUE,-1,-1,2019-09-16 08:19:11,-2.74025874235284,-78.8468664365025,"fsacoto"
121,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.32,TRUE,-1,-1,2019-09-16 08:19:24,-2.74025086366269,-78.8468518568051,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.31,TRUE,-1,-1,2019-09-16 08:27:45,-2.73895791850475,-78.8468668605553,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.31,TRUE,-1,-1,2019-09-16 08:27:50,-2.73895791850475,-78.8468668605553,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.31,TRUE,-1,-1,2019-09-16 08:33:01,-2.74025750051129,-78.8468607326462,"fsacoto"
144,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.31,TRUE,-1,-1,2019-09-16 08:33:27,-2.74025790400014,-78.8468599881474,"fsacoto"
50,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,0,-1,2019-09-16 08:38:53,-2.74178632535296,-78.846053173839,"fsacoto"
50,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,0,-1,2019-09-16 08:39:01,-2.74178632535296,-78.846053173839,"fsacoto"
648,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,-1,-1,2019-09-16 08:39:26,-2.74053647677579,-78.8462959479299,"fsacoto"
200,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,0.34,-1,2019-09-16 08:39:31,-2.74147344961447,-78.8461040015793,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,-1,-1,2019-09-16 08:47:17,-2.74245730421573,-78.8460685055852,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,-1,-1,2019-09-16 08:47:26,-2.74245730421573,-78.8460685055852,"fsacoto"
397,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.3,TRUE,-1,-1,2019-09-16 08:47:34,-2.74218297762464,-78.8459694576222,"fsacoto"
65,"still","ReactNative-iPhone-7-12-4-1","motionchange",0.27,FALSE,-1,-1,2019-09-16 08:54:07,-2.74182376162511,-78.8461128412184,"fsacoto"
65,"running","ReactNative-iPhone-7-12-4-1","motionchange",0.16,TRUE,-1,-1,2019-09-16 10:21:26,-2.74022114990886,-78.8456744075421,"fsacoto"
65,"running","ReactNative-iPhone-7-12-4-1",NA,0.16,TRUE,-1,-1,2019-09-16 10:21:26,-2.74019384862124,-78.8456678863679,"fsacoto"
10,"running","ReactNative-iPhone-7-12-4-1",NA,0.16,TRUE,3.02,357.19,2019-09-16 10:23:13,-2.73797302041458,-78.8461628929515,"fsacoto"
5,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.15,TRUE,0.87,40.78,2019-09-16 10:26:06,-2.73594824597494,-78.84728229612,"fsacoto"
30,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.15,TRUE,1.94,348.4,2019-09-16 10:29:00,-2.73406952619807,-78.848566487505,"fsacoto"
65,"on_foot","ReactNative-iPhone-7-12-4-1",NA,0.11,TRUE,-1,-1,2019-09-16 10:33:23,-2.73407939977196,-78.8484857314855,"fsacoto"
