"user","tripid","ox","oy","dx","dy","olong","olat","dlong","dlat","starttime","endtime","mode","points","tdistance","ttime","date","wday","hour","day","departureseconds","arrivalseconds","stayindestination","dtrips","home"
"fsacoto",1,739200.281266172,9695232.28465762,739457.701381446,9696728.3910524,-78.848402965281,-2.75535377115432,-78.8461128412184,-2.74182376162511,2019-09-16 08:00:03,2019-09-16 08:54:07,"on_foot",23,2477.28975258893,3244.2389998436,2019-09-16 08:00:03,2,8,"2019-09-16",1568638803.032,1568642047.271,0,2,"N"
"fsacoto",2,739457.701381446,9696728.3910524,739195.268860803,9697585.51171903,-78.8461128412184,-2.74182376162511,-78.8484860926397,-2.73407906923382,2019-09-16 08:54:07,2019-09-16 10:46:32,"on_foot",12,990.107604223629,6744.80500006676,2019-09-16 08:54:07,2,10,"2019-09-16",1568642047.271,1568648792.076,0,2,"N"
"fsacoto",3,739195.268860803,9697585.51171903,739202.151828489,9695220.11683524,-78.8484860926397,-2.73407906923382,-78.8483859500436,-2.75546374603088,2019-09-16 10:46:32,2019-09-16 11:58:07,"in_vehicle",11,3637.86376716923,4295.91700005531,2019-09-16 10:46:32,2,11,"2019-09-16",1568648792.076,1568653087.993,3046.00699996948,19,"N"
"fsacoto",4,739190.566130253,9695463.74144574,737954.664258812,9692311.74532684,-78.8484940678616,-2.7532614022519,-78.8595545643313,-2.78177791450708,2019-09-16 12:48:54,2019-09-16 13:02:07,"on_foot",6,3695.33588005788,793.678999900818,2019-09-16 12:48:54,2,13,"2019-09-16",1568656134,1568656927.679,0,146,"N"
"fsacoto",5,737954.664258812,9692311.74532684,722296.501166132,9677257.85781045,-78.8595545643313,-2.78177791450708,-79.00010782497,-2.91813662237764,2019-09-16 13:02:07,2019-09-16 14:01:54,"in_vehicle",33,18818.3286644017,3587.09000015259,2019-09-16 13:02:07,2,14,"2019-09-16",1568656927.679,1568660514.769,7514.72399997711,22,"N"
"fsacoto",6,722295.191779979,9677255.66867596,722868.77658603,9677356.7563167,-79.0001195650475,-2.91815643655032,-78.9949630480995,-2.91723322123561,2019-09-16 16:07:09,2019-09-16 16:55:28,"unknown",2,19.8054609639514,2898.50699996948,2019-09-16 16:07:09,2,16,"2019-09-16",1568668029.493,1568670928,1,146,"N"
"fsacoto",7,722870.086109333,9677354.12116819,739215.669834271,9695198.85168894,-78.9949512296161,-2.91725702584062,-78.8482640684385,-2.75565577671188,2019-09-16 16:55:29,2019-09-16 19:26:38,"in_vehicle",39,30953.1781865795,9069.00300002098,2019-09-16 16:55:29,2,19,"2019-09-16",1568670929,1568679998.003,10775.4289999008,19,"N"
"fsacoto",8,739236.541282269,9695220.77509456,735572.609727168,9690052.06594663,-78.8480767756867,-2.75545723333761,-78.8809350506206,-2.8022462502148,2019-09-16 22:26:13,2019-09-17 06:13:28,"on_foot",16,7579.96444169031,28035.5670001507,2019-09-16 22:26:13,2,6,"2019-09-16",1568690773.432,1568718808.999,1,146,"N"
"fsacoto",9,735567.702605724,9690029.46718222,722343.702629405,9677254.20093256,-78.8809788041551,-2.80245064292364,-78.999683292285,-2.91816892738577,2019-09-17 06:13:29,2019-09-17 07:00:38,"in_vehicle",28,19893.7370387737,2828.33599996567,2019-09-17 06:13:29,3,7,"2019-09-17",1568718809.999,1568721638.335,0,22,"N"
"fsacoto",10,722343.702629405,9677254.20093256,722308.628428225,9677265.83024156,-78.999683292285,-2.91816892738577,-78.9999988941447,-2.91806434447363,2019-09-17 07:00:38,2019-09-17 08:57:19,"on_foot",7,103.297438509343,7000.93000006676,2019-09-17 07:00:38,3,8,"2019-09-17",1568721638.335,1568728639.265,0,22,"N"
