"accuracy","activity_type","device_model","event","battery_level","is_moving","speed","heading","recorded_at","latitude","longitude","company_token"
40,"unknown","flutter-iPhone15,3-16.5","motionchange",0.92,FALSE,-1,-1,2022-11-15 11:59:30,-2.91915217164923,-79.0015973158117,"galvarezmci"
4,"unknown","flutter-iPhone15,3-16.5","motionchange",0.92,FALSE,0,-1,2022-11-15 11:59:36,-2.9189450992308,-79.0015941393366,"galvarezmci"
42,"in_vehicle","flutter-iPhone15,3-16.5","motionchange",0.9,TRUE,-1,-1,2022-11-15 13:01:20,-2.9209467672685,-79.0012568732342,"galvarezmci"
42,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,-1,-1,2022-11-15 13:01:20,-2.92095440699525,-79.0012512955365,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,16.79,303.05,2022-11-15 13:01:49,-2.92004962732125,-79.0033319320326,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,18.82,269.6,2022-11-15 13:02:09,-2.91955409416117,-79.0063308840463,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,16.17,262.36,2022-11-15 13:03:11,-2.92041471969138,-79.0147036973154,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,19.27,252.57,2022-11-15 13:04:17,-2.92119870490449,-79.0238149564181,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,0,37.37,2022-11-15 13:07:10,-2.91339774554227,-79.02175728361,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,0,37.37,2022-11-15 13:07:11,-2.9133971441373,-79.0217560880267,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,14.34,22.42,2022-11-15 13:07:55,-2.91134625225691,-79.0207456896586,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,0,32.5,2022-11-15 13:09:02,-2.90971512133242,-79.0191921437368,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,4.44,343.55,2022-11-15 13:09:53,-2.90776638027655,-79.0203437729387,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.9,TRUE,7,332.61,2022-11-15 13:11:18,-2.90327529785815,-79.0197696730017,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.89,TRUE,0,333.67,2022-11-15 13:11:48,-2.90289833791162,-79.0199744076353,"galvarezmci"
4,"in_vehicle","flutter-iPhone15,3-16.5",NA,0.89,TRUE,10.81,70.44,2022-11-15 13:12:11,-2.90229251303532,-79.0186949618836,"galvarezmci"
