"user","tripid","ox","oy","dx","dy","olong","olat","dlong","dlat","starttime","endtime","mode","points","tdistance","ttime","date","adate","wday","hour","day","departureseconds","arrivalseconds","stayindestination","dtrips","home"
"galvarezmciiPhone15-3-16-5",1,722147.527259219,9677206.11430051,722126.223661288,9677191.39491589,-79.0014466943495,-2.91860685697044,-79.0016380388453,-2.9187402850867,2023-06-12 09:03:24,2023-06-12 09:16:03,"on_foot",6,101.885913379144,758.833999872208,2023-06-12 09:03:24,2023-06-12 09:16:03,2,9,"2023-06-12",1686578604.999,1686579363.833,0,5,"N"
"galvarezmciiPhone15-3-16-5",2,722126.223661288,9677191.39491589,719047.687819578,9680060.5526834,-79.0016380388453,-2.9187402850867,-79.0293680395378,-2.89284735172763,2023-06-12 09:16:03,2023-06-12 12:43:35,"in_vehicle",164,5055.40737676296,12451.4370000362,2023-06-12 09:16:03,2023-06-12 12:43:35,2,12,"2023-06-12",1686579363.833,1686591815.27,0,11,"Y"
"galvarezmciiPhone15-3-16-5",3,719047.687819578,9680060.5526834,718929.198731005,9679727.55555353,-79.0293680395378,-2.89284735172763,-79.0304283862207,-2.89586007222948,2023-06-12 12:43:35,2023-06-12 13:52:38,"unknown",14,230.352182876169,4143.34299993515,2023-06-12 12:43:35,2023-06-12 13:52:38,2,13,"2023-06-12",1686591815.27,1686595958.613,0,2,"N"
"galvarezmciiPhone15-3-16-5",4,718929.198731005,9679727.55555353,722089.653359535,9677101.27689958,-79.0304283862207,-2.89586007222948,-79.0019654696678,-2.91955567823007,2023-06-12 13:52:38,2023-06-12 16:09:28,"in_vehicle",234,5796.83718735881,8209.93600010872,2023-06-12 13:52:38,2023-06-12 16:09:28,2,16,"2023-06-12",1686595958.613,1686604168.549,0,3,"N"
"galvarezmciiPhone15-3-16-5",5,722089.653359535,9677101.27689958,719047.687819578,9680060.5526834,-79.0019654696678,-2.91955567823007,-79.0293680395378,-2.89284735172763,2023-06-12 16:09:28,2023-06-12 20:36:14,"in_vehicle",173,5364.1701899607,16006.2690000534,2023-06-12 16:09:28,2023-06-12 20:36:14,2,20,"2023-06-12",1686604168.549,1686620174.818,0,11,"Y"
"galvarezmciiPhone15-3-16-5",6,719047.687819578,9680060.5526834,722131.399167474,9677178.70329042,-79.0293680395378,-2.89284735172763,-79.0015912935905,-2.91885495376914,2023-06-12 20:36:14,2023-06-13 08:24:37,"in_vehicle",168,5162.47570921189,42502.7479999065,2023-06-12 20:36:14,2023-06-13 08:24:37,2,8,"2023-06-13",1686620174.818,1686662677.566,0,5,"N"
"galvarezmciiPhone15-3-16-5",7,722131.399167474,9677178.70329042,720735.033275427,9679356.0941259,-79.0015912935905,-2.91885495376914,-79.014183084982,-2.89919019793312,2023-06-13 08:24:37,2023-06-13 13:52:40,"in_vehicle",153,3604.26479675618,19683.0309998989,2023-06-13 08:24:37,2023-06-13 13:52:40,3,13,"2023-06-13",1686662677.566,1686682360.597,0,14,"N"
"galvarezmciiPhone15-3-16-5",8,720735.033275427,9679356.0941259,719047.710965775,9680060.57265428,-79.014183084982,-2.89919019793312,-79.029367831701,-2.89284717079364,2023-06-13 13:52:40,2023-06-13 14:57:15,"in_vehicle",83,2239.00825988012,3875.03500008583,2023-06-13 13:52:40,2023-06-13 14:57:15,3,14,"2023-06-13",1686682360.597,1686686235.632,8211.53699994087,11,"Y"
"galvarezmciiPhone15-3-16-5",11,719047.710965775,9680060.57265428,722195.68230772,9677222.99912393,-79.029367831701,-2.89284717079364,-79.0010139140288,-2.91845341854466,2023-06-13 17:14:07,2023-06-14 07:24:46,"in_vehicle",164,5148.99714678277,51039.7750000954,2023-06-13 17:14:07,2023-06-14 07:24:46,3,7,"2023-06-14",1686694447.169,1686745486.944,0,14,"N"
"galvarezmciiPhone15-3-16-5",12,722195.68230772,9677222.99912393,718924.659064956,9679725.29936306,-79.0010139140288,-2.91845341854466,-79.0304691753244,-2.89588054334199,2023-06-14 07:24:46,2023-06-14 13:54:59,"in_vehicle",281,7825.49055488945,23412.0580000877,2023-06-14 07:24:46,2023-06-14 13:54:59,4,13,"2023-06-14",1686745486.944,1686768899.002,0,2,"N"
"galvarezmciiPhone15-3-16-5",13,718924.659064956,9679725.29936306,722132.810216142,9677174.57576266,-79.0304691753244,-2.89588054334199,-79.001578538311,-2.9188922503022,2023-06-14 13:54:59,2023-06-14 17:03:09,"in_vehicle",191,5122.63968820353,11290.5799999237,2023-06-14 13:54:59,2023-06-14 17:03:09,4,17,"2023-06-14",1686768899.002,1686780189.582,0,5,"N"
"galvarezmciiPhone15-3-16-5",14,722132.810216142,9677174.57576266,719047.820634381,9680060.57848034,-79.001578538311,-2.9188922503022,-79.0293668455663,-2.89284711639425,2023-06-14 17:03:09,2023-06-14 20:28:45,"in_vehicle",164,5504.68940375945,12336.1689999104,2023-06-14 17:03:09,2023-06-14 20:28:45,4,20,"2023-06-14",1686780189.582,1686792525.751,0,11,"Y"
"galvarezmciiPhone15-3-16-5",15,719047.820634381,9680060.57848034,714882.867893018,9679872.70200932,-79.0293668455663,-2.89284711639425,-79.0668188935753,-2.89461064961883,2023-06-14 20:28:45,2023-06-14 20:54:13,"in_vehicle",147,5184.062275066,1528.23600006104,2023-06-14 20:28:45,2023-06-14 20:54:13,4,20,"2023-06-14",1686792525.751,1686794053.987,0,14,"N"
"galvarezmciiPhone15-3-16-5",16,714882.867893018,9679872.70200932,719047.820634381,9680060.57848034,-79.0668188935753,-2.89461064961883,-79.0293668455663,-2.89284711639425,2023-06-14 20:54:13,2023-06-14 22:37:54,"in_vehicle",227,6881.47343138095,6221.0039999485,2023-06-14 20:54:13,2023-06-14 22:37:54,4,22,"2023-06-14",1686794053.987,1686800274.991,0,11,"Y"
"galvarezmciiPhone15-3-16-5",17,719047.820634381,9680060.57848034,722093.896033245,9677093.27819679,-79.0293668455663,-2.89284711639425,-79.0019271881563,-2.91962793066162,2023-06-14 22:37:54,2023-06-15 11:14:27,"in_vehicle",178,5212.88039688262,45392.3120000362,2023-06-14 22:37:54,2023-06-15 11:14:27,4,11,"2023-06-15",1686800274.991,1686845667.303,0,3,"N"
"galvarezmciiPhone15-3-16-5",18,722093.896033245,9677093.27819679,721055.006358779,9677022.98567075,-79.0019271881563,-2.91962793066162,-79.0112686674354,-2.92028013961582,2023-06-15 11:14:27,2023-06-15 13:32:17,"in_vehicle",43,1297.70082589533,8270.31200003624,2023-06-15 11:14:27,2023-06-15 13:32:17,5,13,"2023-06-15",1686845667.303,1686853937.615,0,14,"N"
"galvarezmciiPhone15-3-16-5",19,721055.006358779,9677022.98567075,720572.396936739,9677101.18915362,-79.0112686674354,-2.92028013961582,-79.0156099720383,-2.91958076478707,2023-06-15 13:32:17,2023-06-15 14:47:45,"in_vehicle",32,661.901506176523,4528.38400006294,2023-06-15 13:32:17,2023-06-15 14:47:45,5,14,"2023-06-15",1686853937.615,1686858465.999,0,14,"N"
"galvarezmciiPhone15-3-16-5",20,720572.396936739,9677101.18915362,722132.664712898,9677185.73534046,-79.0156099720383,-2.91958076478707,-79.0015800251127,-2.91879135288529,2023-06-15 14:47:45,2023-06-15 16:06:23,"in_vehicle",67,1735.27794734781,4717.18099999428,2023-06-15 14:47:45,2023-06-15 16:06:23,5,16,"2023-06-15",1686858465.999,1686863183.18,0,5,"N"
"galvarezmciiPhone15-3-16-5",21,722132.664712898,9677185.73534046,721886.684475957,9679574.32750802,-79.0015800251127,-2.91879135288529,-79.0038300679401,-2.8971987201706,2023-06-15 16:06:23,2023-06-15 19:55:38,"on_foot",208,5227.89125709694,13755.8179998398,2023-06-15 16:06:23,2023-06-15 19:55:38,5,19,"2023-06-15",1686863183.18,1686876938.998,0,14,"N"
"galvarezmciiPhone15-3-16-5",22,721886.684475957,9679574.32750802,719047.820634381,9680060.57848034,-79.0038300679401,-2.8971987201706,-79.0293668455663,-2.89284711639425,2023-06-15 19:55:38,2023-06-15 23:09:30,"in_vehicle",413,11660.3732788271,11631.1980001926,2023-06-15 19:55:38,2023-06-15 23:09:30,5,23,"2023-06-15",1686876938.998,1686888570.196,49339.8049998283,11,"Y"
"galvarezmciiPhone15-3-16-5",23,718987.973713707,9679772.48029923,722107.476984335,9678142.02062188,-79.0299005361063,-2.89545295282331,-79.0018217896174,-2.91014546521585,2023-06-16 12:51:50,2023-06-16 13:21:45,"in_vehicle",193,4909.62084165921,1795.13300013542,2023-06-16 12:51:50,2023-06-16 13:21:45,6,13,"2023-06-16",1686937910.001,1686939705.134,0,14,"N"
"galvarezmciiPhone15-3-16-5",24,722107.476984335,9678142.02062188,722312.509794644,9677183.45438472,-79.0018217896174,-2.91014546521585,-78.9999626725823,-2.91880908584911,2023-06-16 13:21:45,2023-06-16 16:05:58,"on_foot",76,1299.48737116875,9853.21000003815,2023-06-16 13:21:45,2023-06-16 16:05:58,6,16,"2023-06-16",1686939705.134,1686949558.344,0,14,"N"
"galvarezmciiPhone15-3-16-5",25,722312.509794644,9677183.45438472,719047.820634381,9680060.57848034,-78.9999626725823,-2.91880908584911,-79.0293668455663,-2.89284711639425,2023-06-16 16:05:58,2023-06-16 19:57:15,"in_vehicle",293,8472.70156430417,13877.4249999523,2023-06-16 16:05:58,2023-06-16 19:57:15,6,19,"2023-06-16",1686949558.344,1686963435.769,52235.8139998913,11,"Y"
"galvarezmciiPhone15-3-16-5",26,719516.191663891,9679906.73067548,721127.733601321,9678870.94729204,-79.0251524850188,-2.89423079616437,-79.0106439633788,-2.90357046509439,2023-06-17 10:27:51,2023-06-17 10:41:27,"in_vehicle",87,2826.08888265138,815.728000164032,2023-06-17 10:27:51,2023-06-17 10:41:27,7,10,"2023-06-17",1687015671.583,1687016487.311,0,14,"N"
"galvarezmciiPhone15-3-16-5",27,721127.733601321,9678870.94729204,720924.039272026,9679414.77013975,-79.0106439633788,-2.90357046509439,-79.0124843287599,-2.89865667449627,2023-06-17 10:41:27,2023-06-17 11:53:06,"in_vehicle",45,1220.844750306,4299.42499995232,2023-06-17 10:41:27,2023-06-17 11:53:06,7,11,"2023-06-17",1687016487.311,1687020786.736,0,14,"N"
"galvarezmciiPhone15-3-16-5",28,720924.039272026,9679414.77013975,719047.638049587,9680060.46316095,-79.0124843287599,-2.89865667449627,-79.0293684857104,-2.89284816194379,2023-06-17 11:53:06,2023-06-17 13:04:38,"in_vehicle",63,1965.73379335452,4291.33799982071,2023-06-17 11:53:06,2023-06-17 13:04:38,7,13,"2023-06-17",1687020786.736,1687025078.074,0,11,"Y"
"galvarezmciiPhone15-3-16-5",29,719047.638049587,9680060.46316095,721241.544971003,9676934.29353308,-79.0293684857104,-2.89284816194379,-79.0095897330913,-2.92107907193179,2023-06-17 13:04:38,2023-06-17 14:36:13,"in_vehicle",249,8269.8973550519,5495.33000016212,2023-06-17 13:04:38,2023-06-17 14:36:13,7,14,"2023-06-17",1687025078.074,1687030573.404,10656.4300000668,14,"N"
"galvarezmciiPhone15-3-16-5",31,721240.422059425,9676955.1554181,719047.638049587,9680060.46316095,-79.00960016357,-2.92089046545412,-79.0293684857104,-2.89284816194379,2023-06-17 17:33:49,2023-06-18 00:45:23,"in_vehicle",161,6263.16158143206,25893.4889998436,2023-06-17 17:33:49,2023-06-18 00:45:23,7,0,"2023-06-18",1687041229.834,1687067123.323,45465.1519999504,11,"Y"
"galvarezmciiPhone15-3-16-5",32,718966.404253532,9679780.6960299,731517.683841725,9683700.45861474,-79.0300946344018,-2.89537900751388,-78.9172917154822,-2.85973736161612,2023-06-18 13:23:08,2023-06-18 14:10:36,"in_vehicle",413,18517.2647855554,2847.71800017357,2023-06-18 13:23:08,2023-06-18 14:10:36,1,14,"2023-06-18",1687112588.475,1687115436.193,0,2,"N"
"galvarezmciiPhone15-3-16-5",33,731517.683841725,9683700.45861474,731517.683841725,9683700.45861474,-78.9172917154822,-2.85973736161612,-78.9172917154822,-2.85973736161612,2023-06-18 14:10:36,2023-06-18 18:37:50,"in_vehicle",666,34899.3324950399,16034.5569999218,2023-06-18 14:10:36,2023-06-18 18:37:50,1,18,"2023-06-18",1687115436.193,1687131470.75,0,2,"N"
"galvarezmciiPhone15-3-16-5",34,731517.683841725,9683700.45861474,719042.892769146,9680054.7014798,-78.9172917154822,-2.85973736161612,-79.0294110690018,-2.89290033181816,2023-06-18 18:37:50,2023-06-18 19:47:12,"in_vehicle",545,22981.9444798294,4162.24900007248,2023-06-18 18:37:50,2023-06-18 19:47:12,1,19,"2023-06-18",1687131470.75,1687135632.999,0,11,"Y"
"galvarezmciiPhone15-3-16-5",35,719042.892769146,9680054.7014798,722099.975466621,9677211.83225209,-79.0294110690018,-2.89290033181816,-79.0018744109936,-2.91855592171767,2023-06-18 19:47:12,2023-06-19 07:04:29,"unknown",150,5014.9695899217,40637,2023-06-18 19:47:12,2023-06-19 07:04:29,1,7,"2023-06-19",1687135632.999,1687176269.999,0,14,"N"
