"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id","stayindestination","dtrips","home"
"1","103",722095.422816297,9677271.16891378,2536.9,14.45417,717004.3363163,9677065.53681014,2617.3,15.035,6.60317017537796,0.580830000000001,5,1686841326,"614820f9e6",6,11458.98,33,"Y"
"2","105",716993.163278567,9677066.80596337,2617.3,10.00972,717002.625394434,9677059.9988436,2617.3,10.03917,0.0997037737002728,0.0294500000000006,1,1687082541,"614820f9e6",8,5348.016,33,"Y"
"3","109",718888.302439458,9676557.92117793,2649.7,22.04056,717015.557347871,9677072.69510663,2615,22.3075,3.3864794568616,0.266940000000002,1,1687126707,"614820f9e6",12,11.52222,33,"Y"
"4","116",720832.025319203,9678839.31201711,2551,16.42389,717000.395768632,9677063.12156624,2617.3,16.77528,6.27726944627891,0.351389999999999,2,1687193191,"614820f9e6",20,14.40333,33,"Y"
"5","126",718804.881690327,9676912.82368476,2578.2,18.96889,717004.415381953,9677079.05169407,2617.5,19.36056,6.11434711026719,0.391670000000001,3,1687288898,"614820f9e6",31,13.04417,33,"Y"
"6","133",721583.242189011,9677098.04792251,2579.5,14.51917,717004.967022417,9677076.55123146,2616.2,15.01333,7.16436612669922,0.494159999999999,4,1687359648,"614820f9e6",39,16.71361,33,"Y"
"7","142",721566.971838911,9679717.08024649,2575.8,18.38833,716999.735813162,9677060.8775819,2617.6,19.28667,10.2396008732433,0.898340000000001,5,1687461432,"614820f9e6",49,6731.02800000001,33,"Y"
"8","146",721800.863241692,9679023.4918171,2549.8,22.93694,717017.559202491,9677053.66884956,2617.5,23.99639,9.0663341989861,1.05945,5,1687478387,"614820f9e6",53,1.32778,33,"Y"
"9","147",717000.263831262,9677063.98445625,2617.3,0.24889,717007.223804177,9677057.04896352,2616.2,0.26472,0.0410953265947509,0.01583,6,1687479353,"614820f9e6",54,31551.984,33,"Y"
"10","15",722305.840496427,9677217.94999261,2535.3,14.4575,716997.421032823,9677066.19028379,2617.1,15.82111,9.77597093090217,1.36361,4,1685548156,"614820f9e6",57,20.87833,33,"Y"
"11","157",718922.586990333,9676521.30815426,2626.2,20.30111,717010.78382746,9677070.85641653,2616.2,20.45306,3.28445039870469,0.151949999999999,1,1687724831,"614820f9e6",65,12.76917,33,"Y"
"12","158",716995.601699846,9677062.25617008,2617.3,9.06306,716998.020396565,9677071.96243524,2617.3,9.07028,0.0208280391339744,0.00722000000000023,2,1687770253,"614820f9e6",66,14258.988,33,"Y"
"13","162",720819.670183166,9677544.22082047,2557.4,15.79389,716999.53062838,9677064.38388059,2616.2,16.24528,6.42512052861963,0.451390000000002,2,1687796083,"614820f9e6",71,12849.984,33,"Y"
"14","166",719257.340534668,9676809.27285826,2587.2,23.01611,717001.506346864,9677062.32333541,2616.2,23.38722,8.9659639882495,0.371109999999998,2,1687821794,"614820f9e6",75,7.81778,33,"Y"
"15","21",718907.174960499,9676552.93324707,2620.3,20.41694,717006.644874067,9677069.44795492,2611,20.67889,3.31047897386183,0.261949999999999,4,1685565644,"614820f9e6",83,10.54556,33,"Y"
"16","31",718903.223692196,9676544.44619909,2649.2,22.25222,717003.598965175,9677057.14373612,2617.3,22.64111,3.81885887059512,0.38889,5,1685659108,"614820f9e6",94,10.76611,33,"Y"
"17","37",716986.569314067,9677047.58449964,2617.1,12.26361,717003.098140811,9677050.48663301,2617.1,12.33722,0.0623149105353526,0.0736100000000004,2,1685967614,"614820f9e6",100,7392.99600000001,33,"Y"
"18","40",718600.71481514,9676647.51245958,2575,15.62917,717007.147253671,9677057.79010009,2617.1,15.71111,4.00150211902445,0.0819399999999995,2,1685979760,"614820f9e6",104,15.28111,33,"Y"
"19","50",722177.498053195,9677214.11907467,2542.9,18.56111,717006.265213336,9677062.12705597,2617.3,19.80389,11.0712384108903,1.24278,3,1686080894,"614820f9e6",115,13.65806,33,"Y"
"20","56",722209.194612834,9677197.95928562,2537.4,14.01139,717008.817730451,9677072.05428421,2616.1,14.50722,6.51717545058378,0.49583,4,1686148226,"614820f9e6",121,7707.996,33,"Y"
"21","57",717154.486671451,9676887.4128567,2614.1,15.85,716995.859563305,9677063.47229538,2617.3,16.1525,0.59447253846988,0.3025,4,1686154149,"614820f9e6",122,8705.01599999999,33,"Y"
"22","58",717003.292398156,9677059.89814758,2616.7,18.19417,716997.414407402,9677062.37467979,2616.7,18.26806,0.0663243634985282,0.0738899999999987,4,1686161765,"614820f9e6",123,4641.984,33,"Y"
"23","59",717008.549188258,9677051.88175602,2616.7,19.47694,717006.104506757,9677052.82608055,2616.7,19.48361,0.0347759394927703,0.00666999999999973,4,1686166141,"614820f9e6",124,18.83445,33,"Y"
"24","64",722369.802561802,9677286.69630189,2531.5,14.64111,717000.191755611,9677054.49531139,2617.3,15.41306,6.71979325989891,0.77195,5,1686237887,"614820f9e6",130,18.41445,33,"Y"
"25","75",718881.085535864,9676557.8011197,2584.9,18.14778,717001.621537614,9677058.21996615,2616.7,18.66639,3.79674218012988,0.518609999999999,1,1686508799,"614820f9e6",142,15.73639,33,"Y"
"26","80",721451.590612442,9677221.98761261,2579.2,14.45667,717014.917784703,9677043.77495491,2616.7,14.97,7.02143826739282,0.51333,2,1686581892,"614820f9e6",148,2900.988,33,"Y"
"27","81",717004.634087222,9677051.31344746,2617.3,15.25667,717004.95530794,9677063.40120248,2616.1,15.2625,0.0229607666666958,0.00582999999999956,2,1686582945,"614820f9e6",149,7289.99999999999,33,"Y"
"28","85",718885.327884349,9677208.27983639,2596.5,19.76139,717001.158297152,9677066.80314068,2617.5,20.02472,4.47378309153346,0.26333,2,1686600089,"614820f9e6",153,10.98,33,"Y"
"29","9",722163.353433743,9676957.62808809,2539.3,15.97389,716997.361305901,9677063.81254016,2617,16.63278,6.57773485879409,0.65889,3,1685464678,"614820f9e6",158,23.16889,33,"Y"
"30","90",722261.547869236,9677260.75379558,2535,14.50083,717011.591833018,9677062.30582211,2616.2,15.14278,10.811008213445,0.64195,3,1686668914,"614820f9e6",159,13940.028,33,"Y"
"31","91",717007.967032258,9677068.82631274,2616.4,17.28389,716994.289740002,9677055.9433281,2617.3,18.37306,16.3929544182663,1.08917,3,1686680543,"614820f9e6",160,14.93917,33,"Y"
"32","96",722204.987457303,9677189.56111082,2537.8,14.05889,717000.913973002,9677066.98052102,2616.6,15.11556,6.8459657879209,1.05667,4,1686755216,"614820f9e6",165,35137.008,33,"Y"
"33","97",716988.890757835,9677046.10952129,2617.3,23.80833,717005.002398178,9677058.501649,2616.6,23.81917,0.0542563391483361,0.0108399999999982,4,1686786549,"614820f9e6",166,7.08584,33,"Y"
