"cluster","users","trips","x","y","long","lat"
1,551,2452,722207.686003611,9677197.3770646,-79.0009055573587,-2.91868488841475
2,98,141,722163.187620914,9677442.00418522,-79.0013096314011,-2.9164737981653
3,14,18,722179.601881234,9677821.86187278,-79.0011680833924,-2.91303903728026
4,3,12,722282.889483478,9677522.32295331,-79.0002344582781,-2.91574567122754
5,5,5,722664.068811134,9677736.02053194,-78.9968100097283,-2.91380739523226
6,5,5,722827.267293142,9678025.41687556,-78.9953470328767,-2.91118819221408
7,2,2,722662.403959457,9679144.66930088,-78.9968474547989,-2.90107110415436
8,4,4,722838.407624848,9677056.71500139,-78.9952313405824,-2.91994653503264
9,3,3,725259.256734713,9679416.09889702,-78.9734993608509,-2.89857519944583
10,17,24,720196.559907781,9679783.88822774,-79.0190321728475,-2.89533076626589
