"user","tripid","ox","oy","dx","dy","olong","olat","dlong","dlat","starttime","endtime","mode","points","tdistance","ttime","date","wday","hour","day","departureseconds","arrivalseconds","stayindestination","dtrips","home"
"imendoza",1,722224.030815551,9677067.82225187,721911.795830824,9678556.65054026,-79.0007565,-2.919856,-79.0035881,-2.9063997,2019-12-20 16:06:30,2019-12-20 16:58:52,"in_vehicle",21,3858.00473902538,3141.44799995422,2019-12-20 16:06:30,6,16,"2019-12-20",1576875990.946,1576879132.394,0,25,"N"
"imendoza",2,721911.795830824,9678556.65054026,722195.805918909,9677060.1967499,-79.0035881,-2.9063997,-79.0010102,-2.9199254,2019-12-20 16:58:52,2019-12-20 17:36:37,"in_vehicle",13,5606.38205004713,2264.9279999733,2019-12-20 16:58:52,6,17,"2019-12-20",1576879132.394,1576881397.322,0,25,"N"
"imendoza",3,722195.805918909,9677060.1967499,722285.073591769,9677233.3935969,-79.0010102,-2.9199254,-79.0002102,-2.918358,2019-12-20 17:36:37,2019-12-20 17:51:37,"walking",3,144.415268846225,900.009000062943,2019-12-20 17:36:37,6,17,"2019-12-20",1576881397.322,1576882297.331,0,2,"N"
"imendoza",4,722285.073591769,9677233.3935969,722287.204540137,9677237.34931498,-79.0002102,-2.918358,-79.0001911,-2.9183222,2019-12-20 17:51:37,2019-12-20 18:52:20,"walking",3,28.6546706930307,3643.66399979591,2019-12-20 17:51:37,6,18,"2019-12-20",1576882297.331,1576885940.995,0,2,"N"
"imendoza",5,722287.204540137,9677237.34931498,723511.145180792,9678899.08916991,-79.0001911,-2.9183222,-78.9892111,-2.9032779,2019-12-20 18:52:20,2019-12-20 19:31:36,"in_vehicle",17,2844.44763241217,2355.62000012398,2019-12-20 18:52:20,6,19,"2019-12-20",1576885940.995,1576888296.615,0,25,"N"
"imendoza",6,723511.145180792,9678899.08916991,726553.276975018,9680375.12973189,-78.9892111,-2.9032779,-78.9618784,-2.8898833,2019-12-20 19:31:36,2019-12-20 20:16:45,"in_vehicle",20,3968.68982803904,2708.38499999046,2019-12-20 19:31:36,6,20,"2019-12-20",1576888296.615,1576891005,0,124,"Y"
"imendoza",7,726553.276975018,9680375.12973189,726565.794619599,9680385.26065646,-78.9618784,-2.8898833,-78.961766,-2.8897915,2019-12-20 20:16:45,2019-12-20 20:41:29,"walking",5,647.631411993115,1484.3029999733,2019-12-20 20:16:45,6,20,"2019-12-20",1576891005,1576892489.303,0,124,"Y"
"imendoza",8,726565.794619599,9680385.26065646,726567.903920356,9680383.25495187,-78.961766,-2.8897915,-78.961747,-2.8898096,2019-12-20 20:41:29,2019-12-20 20:56:34,"walking",3,1.63647101219227,905.572999954224,2019-12-20 20:41:29,6,20,"2019-12-20",1576892489.303,1576893394.876,0,124,"Y"
"imendoza",9,726567.903920356,9680383.25495187,726563.880824102,9680384.66683234,-78.961747,-2.8898096,-78.9617832,-2.8897969,2019-12-20 20:56:34,2019-12-20 21:51:36,"in_vehicle",3,2.79272134598994,3301.72099995613,2019-12-20 20:56:34,6,21,"2019-12-20",1576893394.876,1576896696.597,0,124,"Y"
"imendoza",10,726563.880824102,9680384.66683234,726563.748489545,9680385.28644833,-78.9617832,-2.8897969,-78.9617844,-2.8897913,2019-12-20 21:51:36,2019-12-21 08:41:37,"walking",3,1.97417268338287,39000.612000227,2019-12-20 21:51:36,6,8,"2019-12-20",1576896696.597,1576935697.209,0,124,"Y"
